,spearman,p_value,change,slope,spearman*abs-change
ocd,-0.1537627315059817,0.16257525530704509,-0.00019169478718968042,-2.3095757492732582e-06,-2.947551409374313e-05
od,0.0431938835074193,0.7148034214757046,-9.410878976096367e-05,-1.289161503574845e-06,4.064924101959279e-06
oe,-0.2589216141067309,0.017397064736897803,-0.0006080425568165372,-7.3258139375486405e-06,-0.00015743536025652143
oj,-0.06670431755117959,0.5369160273780698,-0.0008435093090704037,-9.695509299659813e-06,-5.62657128096083e-05
omfg,-0.2063394437314782,0.05968482959333088,-0.0002754820936639118,-3.3190613694447207e-06,-5.684282196459454e-05
ooo,-0.046152049129423105,0.67305525331143,-0.0009376207696298406,-1.1030832583880477e-05,-4.3273119824723905e-05
orgy,-0.11872905688852302,0.2705683704617032,-0.0004694068894298585,-5.395481487699523e-06,-5.5732237278982305e-05
os,0.10271224085365026,0.3615273668498107,-0.00047284551903172087,-5.910568987896511e-06,4.8567022837355384e-05
ot,0.0972908855107185,0.370000306870361,-0.0006014705833618909,-6.993843992580127e-06,5.8517605663926797e-05
otoh,-0.29668872714971495,0.0058297322716240815,-0.0007785609043409161,-9.268582194534717e-06,-0.00023099024371743738
penis,-0.09464855227089,0.39765186426240995,-0.0005859238739390306,-7.233628073321366e-06,-5.545684640928071e-05
pos,0.10524119740552938,0.3467121877117566,-9.709894735441735e-05,-1.1987524364742884e-06,1.0218809486395342e-05
pas,0.005657151813846091,0.9587717305805086,-0.000214180292218005,-2.5197681437412353e-06,1.2116504286111727e-06
paw,0.19369161374816524,0.10305021859200057,-7.402160817142128e-05,-1.0425578615693138e-06,1.4337364738956962e-05
pb,0.33519454691232314,0.002701025913821137,0.0005707056692161067,7.411761937871516e-06,0.00019129742821318704
peeps,0.2546583506802929,0.022630931231069393,-7.301072306820447e-06,-9.241863679519553e-08,1.8592790318524565e-06
pita,0.14340454719556522,0.18513715407414766,-0.0005753150044331961,-6.689709353874373e-06,8.250278770555708e-05
pix,-0.2889829218898746,0.011919154849291748,-0.0003734042360626056,-5.046003190035211e-06,-0.00010790744718342825
pk,0.23598531327931588,0.030691111917079628,-0.0002951765078023571,-3.556343467498278e-06,6.965732066643366e-05
plz,0.16018285433795484,0.16981230963976843,-0.00014063398560343796,-1.9004592649113237e-06,2.2527153230881542e-05
po,-0.12338339582855846,0.2818297821462932,-0.00018447559118322924,-2.3957868984834967e-06,-2.2761224887667703e-05
pod,0.05345025095841518,0.6487899641209187,-2.7772521761736726e-05,-3.753043481315774e-07,1.484448257912875e-06
poo,0.004823912868833163,0.9652633706463132,-0.00052004768725792,-6.2656347862399996e-06,2.5086647309704045e-06
